_pd_block_id	_refln_index_h	_refln_index_k	_refln_index_l	_pd_refln_phase_id	_refln_d_spacing	_diffrn_radiation_wavelength
pattern_2	4	-1	-1	1	1.138994	0.8257653
pattern_2	4	-1	2	1	1.126092	0.8257653
pattern_2	4	-1	5	1	1.046599	0.8257653
pattern_2	4	-1	8	1	0.935005	0.8257653
pattern_2	4	-1	11	1	0.821617	0.8257653
pattern_2	4	0	-8	1	0.870265	0.8257653
pattern_2	4	0	-2	1	1.017916	0.8257653
pattern_2	4	0	4	1	0.982395	0.8257653
pattern_2	4	0	10	1	0.807520	0.8257653
pattern_2	5	-2	-8	1	0.817344	0.8257653
pattern_2	5	-2	-5	1	0.888768	0.8257653
pattern_2	5	-2	-2	1	0.935919	0.8257653
pattern_2	5	-2	1	1	0.943286	0.8257653
pattern_2	5	-2	4	1	0.908086	0.8257653
pattern_2	5	-2	7	1	0.842727	0.8257653
pattern_2	5	-2	10	1	0.764707	0.8257653
pattern_2	5	-1	-9	1	0.763553	0.8257653
pattern_2	5	-1	-6	1	0.830805	0.8257653
pattern_2	5	-1	-3	1	0.880824	0.8257653
pattern_2	5	-1	0	1	0.899617	0.8257653
pattern_2	5	-1	3	1	0.880824	0.8257653
pattern_2	5	-1	6	1	0.830805	0.8257653
pattern_2	5	-1	9	1	0.763553	0.8257653
pattern_2	5	0	-4	1	0.799179	0.8257653
pattern_2	5	0	2	1	0.817954	0.8257653
pattern_2	6	-3	0	1	0.793388	0.8257653
pattern_2	6	-3	3	1	0.780407	0.8257653
pattern_2	6	-2	-1	1	0.777695	0.8257653
pattern_2	6	-2	2	1	0.773551	0.8257653
pattern_2	1	1	1	2	3.135960	0.8257653
pattern_2	2	2	0	2	1.920375	0.8257653
pattern_2	2	2	2	2	1.567980	0.8257653
pattern_2	3	1	1	2	1.637702	0.8257653
pattern_2	3	3	1	2	1.246104	0.8257653
pattern_2	3	3	3	2	1.045320	0.8257653
pattern_2	4	0	0	2	1.357910	0.8257653
pattern_2	4	2	2	2	1.108729	0.8257653
pattern_2	4	4	0	2	0.960188	0.8257653
pattern_2	4	4	2	2	0.905274	0.8257653
pattern_2	4	4	4	2	0.783990	0.8257653
pattern_2	5	1	1	2	1.045320	0.8257653
pattern_2	5	3	1	2	0.918115	0.8257653
pattern_2	5	3	3	2	0.828318	0.8257653
pattern_2	6	2	0	2	0.858818	0.8257653
pattern_2	6	2	2	2	0.818851	0.8257653
pattern_3	0	0	6	1	2.166239	0.8257653
pattern_3	0	0	12	1	1.083120	0.8257653
pattern_3	1	0	-14	1	0.905712	0.8257653
pattern_3	1	0	-8	1	1.511560	0.8257653
pattern_3	1	0	-2	1	3.481494	0.8257653
pattern_3	1	0	4	1	2.552077	0.8257653
pattern_3	1	0	10	1	1.239609	0.8257653
pattern_3	1	0	16	1	0.797018	0.8257653
pattern_3	2	-1	0	1	2.380450	0.8257653
pattern_3	2	-1	3	1	2.086279	0.8257653
pattern_3	2	-1	6	1	1.602152	0.8257653
pattern_3	2	-1	9	1	1.234706	0.8257653
pattern_3	2	-1	12	1	0.985865	0.8257653
pattern_3	2	-1	15	1	0.814231	0.8257653
pattern_3	2	0	-10	1	1.099466	0.8257653
pattern_3	2	0	-4	1	1.740747	0.8257653
pattern_3	2	0	2	1	1.965030	0.8257653
pattern_3	2	0	8	1	1.276039	0.8257653
pattern_3	2	0	14	1	0.846510	0.8257653
pattern_3	3	-1	-14	1	0.797580	0.8257653
pattern_3	3	-1	-11	1	0.941541	0.8257653
pattern_3	3	-1	-8	1	1.124646	0.8257653
pattern_3	3	-1	-5	1	1.336591	0.8257653
pattern_3	3	-1	-2	1	1.515410	0.8257653
pattern_3	3	-1	1	1	1.547289	0.8257653
pattern_3	3	-1	4	1	1.405130	0.8257653
pattern_3	3	-1	7	1	1.193670	0.8257653
pattern_3	3	-1	10	1	0.998144	0.8257653
pattern_3	3	-1	13	1	0.841505	0.8257653
pattern_3	3	0	-12	1	0.850692	0.8257653
pattern_3	3	0	-6	1	1.160498	0.8257653
pattern_3	3	0	0	1	1.374354	0.8257653
pattern_3	3	0	6	1	1.160498	0.8257653
pattern_3	3	0	12	1	0.850692	0.8257653
pattern_3	4	-2	0	1	1.190225	0.8257653
pattern_3	4	-2	3	1	1.147703	0.8257653
pattern_3	4	-2	6	1	1.043139	0.8257653
pattern_3	4	-2	9	1	0.918484	0.8257653
pattern_3	4	-2	12	1	0.801076	0.8257653
pattern_3	4	-1	-10	1	0.858544	0.8257653
pattern_3	4	-1	-7	1	0.973687	0.8257653
pattern_3	4	-1	-4	1	1.078682	0.8257653
pattern_3	4	-1	-1	1	1.139131	0.8257653
pattern_3	4	-1	2	1	1.126229	0.8257653
pattern_3	4	-1	5	1	1.046727	0.8257653
pattern_3	4	-1	8	1	0.935123	0.8257653
pattern_3	4	-1	11	1	0.821723	0.8257653
pattern_3	4	0	-8	1	0.870374	0.8257653
pattern_3	4	0	-2	1	1.018039	0.8257653
pattern_3	4	0	4	1	0.982515	0.8257653
pattern_3	4	0	10	1	0.807622	0.8257653
pattern_3	5	-2	-8	1	0.817446	0.8257653
pattern_3	5	-2	-5	1	0.888877	0.8257653
pattern_3	5	-2	-2	1	0.936032	0.8257653
pattern_3	5	-2	1	1	0.943400	0.8257653
pattern_3	5	-2	4	1	0.908197	0.8257653
pattern_3	5	-2	7	1	0.842832	0.8257653
pattern_3	5	-2	10	1	0.764804	0.8257653
pattern_3	5	-1	-9	1	0.763648	0.8257653
pattern_3	5	-1	-6	1	0.830907	0.8257653
pattern_3	5	-1	-3	1	0.880930	0.8257653
pattern_3	5	-1	0	1	0.899726	0.8257653
pattern_3	5	-1	3	1	0.880930	0.8257653
pattern_3	5	-1	6	1	0.830907	0.8257653
pattern_3	5	-1	9	1	0.763648	0.8257653
pattern_3	5	0	-4	1	0.799276	0.8257653
pattern_3	5	0	2	1	0.818053	0.8257653
pattern_3	6	-3	0	1	0.793483	0.8257653
pattern_3	6	-3	3	1	0.780501	0.8257653
pattern_3	6	-2	-1	1	0.777789	0.8257653
pattern_3	6	-2	2	1	0.773644	0.8257653
pattern_3	1	1	1	2	3.136152	0.8257653
pattern_3	2	2	0	2	1.920493	0.8257653
pattern_3	2	2	2	2	1.568076	0.8257653
pattern_3	3	1	1	2	1.637802	0.8257653
pattern_3	3	3	1	2	1.246180	0.8257653
pattern_3	3	3	3	2	1.045384	0.8257653
pattern_3	4	0	0	2	1.357993	0.8257653
